index,commentaire,cache_hit,parse_ok,error,theme,sub_theme,severity,main_issue,recommended_action,confidence,contact_id,id_profil,id_conseiller,date_contact
532,"C'est pas Julien de Free Proxi que je note, mais l'incompétence du service Free. En effet, les frais de mise en service ne m'ont pas été communiqués ; de plus, je devais régler 3 forfaits à 9,90 €, hors à ce jour, il n'y en a qu'un à 15,90 €. Le RIB devait être valable pour l'ensemble des forfaits ainsi que la box, hors c'est prélevé sur 2 comptes différents. Je ne recommande pas Free : services de souscription malhonnêtes. Le service résiliation indiquait un remboursement des frais de 49 € alors que j'étais encore dans mon délai de rétractation ; j'attends toujours. Et quand je rappelle, on me dit que c'est une information erronée : pas de remboursement.",False,True,,tarification,Manque de transparence sur les frais et erreurs de facturation (problèmes de communication et gestion),4,"Frais non communiqués, facturation erronée et promesses non tenues de remboursement.",Clarifier la communication tarifaire et corriger les erreurs de facturation rapidement.,0.95,49566060,32811724,0.0,2025-10-22
539,Trop long à expliquer. Je suis très très déçue et en colère 5 jours d'enfer pour moi.,False,True,,support client insuffisant,Longueur excessive des explications et frustration client (manque d'efficacité),3,Processus trop long et frustrant pour le client.,Simplifier et accélérer les échanges avec le service client.,0.8,49565608,78740934,0.0,2025-10-22
548,Trop long à réparer une soirée et une matinée,False,True,,service technique,Réparation trop longue (manque d'efficacité opérationnelle),3,Temps de réparation jugé trop long pour un problème simple.,Optimiser les interventions pour réduire les délais de réparation.,0.85,49565508,61870953,0.0,2025-10-22
553,"Il est totalement incompréhensible que pour un débranchement dans un point de mutualisation par un opérateur qui s'en fout de bien faire son travail et donc débranche des lignes actives pour en mettre d'autres, un délai de 5 jours pour effectuer cette réparation soit appliqué et qu'en plus le réparateur ne vient même pas au domicile et met de fausses photos !!!!  
Cela veut bien dire que les opérateurs qui viennent dépanner sont malveillants, et donc 5 jours pour réparer de la malveillance est inacceptable.  
Le service correspond réellement à la pub rêvée !!  
Déplorable",False,True,,service technique,Délai de réparation long et malveillance supposée des techniciens (problème de qualité et confiance),5,Délai de 5 jours pour réparer un débranchement avec suspicion de malveillance et fausses photos.,Renforcer le contrôle qualité des interventions et améliorer la transparence avec les clients.,0.9,49565417,49278723,0.0,2025-10-22
558,"Bonjour, Je suis en panne, tous les mois, tous les mois un technicien se déplace, je perds 5 jours de connexion par mois, sans vraiment trouver de solution.  
Je dois de nouveau attendre la prochaine panne...  
Aucune solution ne m'est apportée. Visiblement, il va falloir que je change d'opérateur, pour trouver une équipe plus sérieuse, peut-être retourner chez Orange.  
Cordialement",False,True,,service technique,Pannes récurrentes et absence de solution durable (manque de résolution efficace),5,Pannes mensuelles répétées sans solution définitive.,Mettre en place un diagnostic approfondi et une solution pérenne pour éviter les pannes récurrentes.,0.95,49565354,44630579,0.0,2025-10-22
561,"Je ne suis pas habituée à internet. La réponse ne m'a pas éclairée. J'ai demandé à être rappelée, mais ça n'a pas été fait. J'ai besoin d'un contact téléphonique. Merci",False,True,,support client insuffisant,Manque de contact téléphonique et absence de rappel (manque de suivi client),3,Demande de contact téléphonique non satisfaite et absence de rappel.,Améliorer le suivi des demandes de rappel et la disponibilité du support téléphonique.,0.85,49565302,62540437,0.0,2025-10-22
565,"J'ai envoyé une lettre avec accusé de réception où j'évoque ma désastreuse expérience avec Free, qui se trouve toujours sans réponses.  
La demande de résiliation ayant été faite, je ne peux ni vous joindre ni me connecter sur votre site, je suis tout simplement bloqué.  
J'ose espérer que suite à ce message je serai recontacté, bien que je n'espère plus.  
La prise de contact avec le médiateur se rapproche...",False,True,,support client insuffisant,Absence de réponse à une lettre recommandée et blocage client (manque de gestion des réclamations),4,Demande de résiliation sans réponse et impossibilité de joindre le service ou accéder au compte.,Améliorer la gestion des réclamations et faciliter l'accès aux services clients.,0.9,49565263,52403649,0.0,2025-10-22
569,"J'attendais une proposition commerciale afin de ne pas changer d'opérateur pour ma box, mais on ne m'a rien proposé comme offre concernant la box.",False,True,,churn,Absence d'offre commerciale pour fidéliser le client (manque d'incitation à rester),3,Aucune proposition commerciale pour éviter le changement d'opérateur.,Proposer des offres attractives pour fidéliser les clients existants.,0.85,49565055,80874214,0.0,2025-10-22
577,Aujourd'hui le problème n'est pas résolu,False,True,,service technique,Problème non résolu à ce jour (manque d'efficacité technique),4,Problème technique persistant sans résolution.,Prioriser la résolution du problème et assurer un suivi rigoureux.,0.9,49564822,34126331,0.0,2025-10-22
584,"Étant déjà chez Free, je n'ai pu obtenir le tarif Pop proposé aux nouveaux arrivants. Je trouve injuste de ne pouvoir bénéficier des baisses de tarifs de cette offre. J'attends maintenant la moindre opportunité pour migrer chez un autre FAI.",False,True,,tarification,Injustice tarifaire entre anciens et nouveaux clients (politique commerciale défavorable),4,Impossibilité de bénéficier du tarif promotionnel Pop réservé aux nouveaux clients.,Revoir la politique tarifaire pour offrir des avantages aux clients fidèles.,0.9,49564487,50477670,0.0,2025-10-22
589,"Le conseiller n'a pas répondu à ma demande, je ferai donc une réclamation au service concerné, je songe à changer d'opérateur si le souci n'est pas réglé rapidement.",False,True,,support client insuffisant,Conseiller ne répond pas à la demande et menace de résiliation (manque de réactivité),3,"Absence de réponse satisfaisante du conseiller, client envisageant de changer d'opérateur.",Améliorer la réactivité et la qualité des réponses du support client.,0.85,49564410,33894854,0.0,2025-10-22
591,vous ne souhaitez pas nous faire profiter d'une de vos offres alors que nous sommes client depuis plusieurs années,False,True,,tarification,Refus d'offrir des promotions aux clients fidèles (manque de reconnaissance),3,Clients fidèles non bénéficiaires des offres promotionnelles.,Mettre en place des offres dédiées aux clients de longue date.,0.85,49564363,24216954,0.0,2025-10-22
593,Malgré l'échange de matériels rien ne va nous avons toujours la TV qui perd ses couleurs,False,True,,probleme avec le produit,Problème persistant de qualité TV malgré échange de matériel (défaillance technique non résolue),4,Perte des couleurs sur la TV malgré remplacement du matériel.,Effectuer un diagnostic approfondi et remplacer ou réparer le matériel défectueux.,0.9,49564151,46023003,0.0,2025-10-22
613,"C'est délicat mais on arrive à saturation ! Être constamment débranché par un technicien ! Si on pouvait avoir une assistance dans la journée pour avoir accès à internet ! Car j'ai suivi l'opération, cela ne relève pas du niveau ingénieur ! Et l'opération prend 2 min ! Bref, être coupé plusieurs jours chaque fois alors que 5 min suffisent pour retrouver la connexion !",False,True,,service technique,Coupures fréquentes et assistance lente (manque d'efficacité technique et support),4,Coupures répétées et absence d'assistance rapide pour rétablir la connexion.,Améliorer la rapidité d'intervention et la qualité du support technique.,0.9,49561840,77457995,0.0,2025-10-22
618,Je suis pas satisfaite du service free,False,True,,churn,Insatisfaction générale du service (manque de qualité perçue),3,Client insatisfait du service Free sans précision.,Analyser les causes d'insatisfaction et améliorer globalement le service.,0.7,49561628,42176175,0.0,2025-10-22
635,"Bonjour,

Je souhaite exprimer mon mécontentement concernant la qualité de mon Wi-Fi. Au début de mon installation, mes débits étaient tout à fait honorables. Cependant, du jour au lendemain, ceux-ci ont drastiquement chuté sans aucune modification de ma part.

Le service client m'indique que cette baisse serait due au partage du Wi-Fi, mais après plusieurs tests effectués avec un seul appareil connecté, le problème persiste exactement de la même manière. Cette explication ne tient donc pas.

Je trouve regrettable que mon problème ne soit pas pris au sérieux et qu'aucune solution concrète ne m'ait été proposée. J'espère qu'une vérification technique réelle sera effectuée afin de retrouver le niveau de service dont je bénéficiais à l'origine.",False,True,,probleme d'internet,Baisse brutale et inexpliquée du débit Wi-Fi (problème technique non identifié),4,Débit Wi-Fi chutant soudainement sans cause apparente et absence de solution proposée.,Effectuer une vérification technique approfondie et proposer une solution adaptée.,0.9,49560892,99104328,0.0,2025-10-22
638,le conseiller est très bien mais pas free.. encore et toujours des problèmes ...,False,True,,support client insuffisant,Conseiller compétent mais problèmes techniques récurrents (manque de résolution technique),3,Problèmes techniques persistants malgré un bon conseiller.,Renforcer les compétences techniques et la résolution des problèmes.,0.85,49560875,58950505,0.0,2025-10-22
639,"J'ai envoyé un courrier recommandé avec AR pour expliquer le piratage de notre compte. Je me suis également déplacé dans la boutique Free de Chartres pour effectuer le changement d'adresse mail avec ma carte d'identité. Votre réponse est consternante ou plutôt standard. Ma demande n'a pas été traitée. Je vais faire appel au médiateur et envisage de résilier notre abonnement.  
Je suis très déçu par la qualité du traitement de ma demande.",False,True,,support client insuffisant,Demande non traitée malgré démarches multiples (manque de suivi et réactivité),4,Demande de changement d'adresse mail et signalement de piratage non pris en compte.,Améliorer le suivi des demandes clients et la réactivité du service.,0.9,49560880,69617569,0.0,2025-10-22
647,"Le technicien devait passer entre 9h et 11h et finalement il est passé à midi et n’a fait le nécessaire que par téléphone. Donc ce n’est pas très compétent. La prochaine fois, je remplacerai tout le matériel et je contacterai un autre opérateur.",False,True,,service technique,Intervention technique tardive et insuffisante (manque de compétence et efficacité),3,Technicien arrivé en retard et n'ayant fait que des actions téléphoniques.,Améliorer la ponctualité et la compétence des techniciens sur site.,0.85,49560187,41281343,0.0,2025-10-22
653,"La réception sur mobile n'est pas bonne sans le wifi. La demande de connexion à internet se trouve donc aléatoire, d'autant qu'il faut se souvenir de l'identifiant et du mot de passe ce qui est stressant.",False,True,,probleme de communication,Mauvaise réception mobile et complexité d'accès au Wi-Fi (problème d'ergonomie et signal),3,Réception mobile faible sans Wi-Fi et difficulté à se connecter à internet.,Améliorer la couverture mobile et simplifier l'accès au Wi-Fi.,0.85,49560055,70169269,0.0,2025-10-22
654,La personne en charge du problème très bien mais mon problème n'étant toujours pas résolu je vais me diriger vers un nouvel opérateur. Je paye 40€ pour de la mauvaise qualité internet ça suffit,False,True,,churn,Insatisfaction de la qualité internet malgré le prix payé (manque de qualité de service),4,Client envisage de changer d'opérateur à cause de mauvaise qualité internet.,Améliorer la qualité du service internet pour fidéliser les clients.,0.9,49560057,72125356,0.0,2025-10-22
669,Commande faite mi-septembre et toujours pas installée,False,True,,service technique,Installation non réalisée après commande (manque de suivi et organisation),4,Commande passée mais installation toujours non effectuée.,Assurer un suivi rigoureux des commandes et planifier rapidement les installations.,0.9,49559390,72647224,0.0,2025-10-22
679,"Je vous avais demandé de m'accompagner phonétiquement. Résultat, je n’ai toujours pas mes mails.  
Je pensais avoir strictement suivi votre texte.  
Je suis nulle, je le reconnais, handicapée et d’un certain âge.  
Très déçue.",False,True,,support client insuffisant,Manque d'accompagnement adapté aux besoins spécifiques (handicap et âge),3,Absence d'aide phonétique et impossibilité d'accéder aux mails malgré suivi des instructions.,Adapter le support aux besoins spécifiques des clients vulnérables.,0.85,49559196,17735014,0.0,2025-10-22
687,C'est compliqué,False,True,,churn,Expression de difficulté sans précision (insatisfaction vague),2,Client trouve la situation compliquée sans détails.,Recueillir plus d'informations pour mieux comprendre et résoudre le problème.,0.6,49559084,44696104,0.0,2025-10-22
692,"Je souhaite juste payer le juste prix pour mon abonnement internet, hors vous n'êtes pas compétitifs, dommage mais pas grave, c'est comme ça ????",False,True,,tarification,Prix non compétitifs pour l'abonnement internet (problème de positionnement tarifaire),3,Client souhaite payer un prix juste mais trouve les tarifs trop élevés.,Revoir la politique tarifaire pour rester compétitif sur le marché.,0.85,49558814,60292831,0.0,2025-10-22
707,"Au prix où l'on paye l'abonnement internet par la fibre, c'est inadmissible que l'on ne nous réponde plus par téléphone, au minimum.",False,True,,support client insuffisant,Absence de réponse téléphonique malgré prix élevé (manque de service client),4,Impossibilité de joindre le service client par téléphone malgré un abonnement coûteux.,Garantir un service client téléphonique accessible pour tous les abonnés.,0.9,49558487,57988284,0.0,2025-10-22
710,No comment à fuir,False,True,,churn,Expression forte de rejet sans détails (insatisfaction extrême),5,Client recommande de fuir le service sans autre explication.,Analyser les causes profondes de cette insatisfaction extrême et agir en conséquence.,0.7,49558476,79428378,0.0,2025-10-22
712,Comme d'habitude les abonnés de la première heure n'ont aucun privilège.,False,True,,tarification,Absence d'avantages pour les premiers abonnés (manque de reconnaissance fidélité),3,Les abonnés historiques ne bénéficient d'aucun privilège.,Mettre en place des avantages pour les clients de longue date.,0.85,49558139,35801271,0.0,2025-10-22
715,"Je ne réponds pas à des voleurs, moi.",False,True,,churn,Refus catégorique de répondre à l'opérateur (insatisfaction forte),4,"Client refuse tout contact avec l'opérateur, exprimant une forte insatisfaction.",Améliorer la relation client pour regagner la confiance.,0.8,49558100,97196103,0.0,2025-10-22
716,"Aucune connaissance technique du problème, donne de fausse réponse. Indique devoir maintenir un rendez-vous pour que 24h après ce soit Free qui l'annule. Les conseillers n'ont pas pu empêcher la coupure fibre. Aucune communication constructive entre Free Proxy et l'infrastructure. L'équipe Free Proxy pense à un débranchement de fibre alors que la réalité vient du fait que l'équipe Infra a coupé la ligne. J'insiste pour une résolution sans rendez-vous, l'équipe Proxy m'indique qu'il est nécessaire d'avoir un RDV pour qu'au final on me l'annule... Très déçu du niveau technique du support, aucune connaissance en télécom...",False,True,,service technique,Manque de connaissances techniques et mauvaise coordination entre équipes (problème organisationnel),5,"Support technique incompétent, rendez-vous annulés, coupure fibre non anticipée et mauvaise communication entre équipes.",Former les équipes techniques et améliorer la coordination entre services pour éviter les erreurs.,0.95,49558027,22395748,0.0,2025-10-22
729,"Tarif beaucoup trop cher, 23,99€ pour quelqu'un qui prend une box chez vous, pour récompenser la fidélité de vos clients 39,99€. Continuez comme ça...",False,True,,tarification,Tarif élevé pour les clients fidèles (politique tarifaire défavorable),3,Tarif plus élevé pour les clients fidèles comparé aux nouveaux abonnés.,Réviser la politique tarifaire pour récompenser la fidélité des clients.,0.9,49556380,78105617,0.0,2025-10-22
741,"Nous avons changé d’opérateur et sommes passés chez Free (mobile + box), on a dû payer les 2 abonnements box pendant 3 mois parce que Free a mal fait la portabilité, et Free ne veut rien savoir, et même pas nous rembourser les frais de résiliation. C’est inadmissible. Je ne suis pas là pour recommander Free à quiconque. J’ai l’impression d’être passée chez Reef, vos pubs ne sont pas si éloignées de la réalité ?",False,True,,support client insuffisant,Erreur de portabilité et refus de remboursement (manque de gestion des litiges),4,Double facturation suite à une mauvaise portabilité et refus de remboursement des frais de résiliation.,Améliorer la gestion des portabilités et traiter rapidement les demandes de remboursement.,0.9,49555814,91647776,0.0,2025-10-22
